zone,min_km,max_km,fare_rupees,source
1,0,2,12,L&T Metro Rail Hyderabad fare revision effective 17 May 2025
2,2,4,18,L&T Metro Rail Hyderabad fare revision effective 17 May 2025
3,4,6,30,L&T Metro Rail Hyderabad fare revision effective 17 May 2025
4,6,9,40,L&T Metro Rail Hyderabad fare revision effective 17 May 2025
5,9,12,50,L&T Metro Rail Hyderabad fare revision effective 17 May 2025
6,12,15,55,L&T Metro Rail Hyderabad fare revision effective 17 May 2025
7,15,18,60,L&T Metro Rail Hyderabad fare revision effective 17 May 2025
8,18,21,66,L&T Metro Rail Hyderabad fare revision effective 17 May 2025
9,21,24,70,L&T Metro Rail Hyderabad fare revision effective 17 May 2025
10,24,,75,L&T Metro Rail Hyderabad fare revision effective 17 May 2025
